City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,21.92,77,100,5.25,ZA,1675778712
1,lebu,-37.6167,-73.65,17.73,65,0,6.99,CL,1675778715
2,ouadda,8.0777,22.4007,37.43,7,1,3.4,CF,1675778718
3,waipawa,-41.4122,175.5153,13.47,83,4,2.61,NZ,1675778719
4,busselton,-33.65,115.3333,18.22,83,0,6.85,AU,1675778721
5,punta arenas,8.9897,125.34,22.84,91,100,2.97,PH,1675778723
6,barrow,71.2906,-156.7887,-21.99,77,100,2.57,US,1675778656
7,atakpame,7.5333,1.1333,35.6,28,97,2.96,TG,1675778725
8,ushuaia,-54.8,-68.3,9.81,62,40,6.69,AR,1675778581
9,port elizabeth,-7.0349,29.7638,24.71,76,93,1.12,CD,1675778729
10,puerto ayora,36.5939,-6.233,17.56,60,20,5.14,ES,1675778644
11,albany,42.6001,-73.9662,-5.11,72,5,0.45,US,1675778627
12,rikitea,-23.1203,-134.9692,26.05,71,34,4.82,PF,1675778219
13,vila franca do campo,42.0304,-8.1588,9.49,40,0,1.83,PT,1675778732
14,nikolskoye,59.7035,30.7861,-1.06,92,91,3.3,RU,1675778733
15,powell river,40.1578,-83.0752,8.14,69,100,5.14,US,1675778457
16,biak,-0.9131,122.8766,25.45,77,100,2.69,ID,1675778734
17,arraial do cabo,-22.8362,-46.646,24.16,78,76,1.33,BR,1675778734
18,souillac,-20.5167,57.5167,27.21,78,40,5.14,MU,1675778734
19,sinnamary,5.3833,-52.95,26.15,86,84,5.03,GF,1675778735
20,longyearbyen,78.2186,15.6401,-5.09,74,100,15.95,SJ,1675778735
21,hobart,-42.8794,147.3294,13.92,66,100,5.66,AU,1675778290
22,trat,12.5,102.5,24.61,87,47,1.13,TH,1675778736
23,jamestown,42.097,-79.2353,2.77,81,0,7.2,US,1675778736
24,mataura,-46.1927,168.8643,11.38,64,54,1.59,NZ,1675778736
25,zhenlai,45.8495,123.2973,-12.01,78,29,4.28,CN,1675778491
26,port alfred,-7.0349,29.7638,24.71,76,93,1.12,CD,1675778737
27,santa maria,17.486,120.4348,24.45,88,9,1.05,PH,1675778737
28,hilo,19.7297,-155.09,22.57,89,0,0.45,US,1675778553
29,hay river,52.0705,-3.1274,8.97,63,10,0.77,GB,1675778737
30,maarianhamina,60.0973,19.9348,2.92,93,100,4.63,AX,1675778738
31,bereda,43.2686,-7.5406,10.79,70,12,4.31,ES,1675778738
32,victoria,22.2855,114.1577,22.03,86,10,4.02,HK,1675778485
33,bilma,18.6853,12.9164,28.07,11,74,1.36,NE,1675778739
34,kolpashevo,58.3131,82.9089,-15.1,98,100,1.25,RU,1675778739
35,sao joao da barra,20.5113,76.2129,23.3,26,40,2.26,IN,1675778739
36,bafoulabe,13.8065,-10.8321,36.67,8,0,1.89,ML,1675778740
37,kodiak,57.79,-152.4072,-1.27,80,0,7.2,US,1675778740
38,manikpur,25.0667,81.1167,20.71,33,0,2.98,IN,1675778649
39,kathmandu,27.7167,85.3167,14.12,51,20,2.06,NP,1675778087
40,namibe,-15.1961,12.1522,24.57,65,100,5.67,AO,1675778741
41,atuona,-9.8,-139.0333,25.88,74,16,8.18,PF,1675778443
42,bluff,-46.6,168.3333,11.56,75,68,11.89,NZ,1675778741
43,avarua,-21.2078,-159.775,27.03,83,40,4.63,CK,1675778741
44,butaritari,3.0707,172.7902,27.25,78,100,10.04,KI,1675778742
45,raahe,64.6833,24.4833,2.05,85,100,8.95,FI,1675778742
46,saint-philippe,-21.3585,55.7679,28.77,82,47,5.87,RE,1675778742
47,severo-kurilsk,50.6789,156.125,-4.66,63,78,6.76,RU,1675778743
48,cayenne,4.9333,-52.3333,28.02,78,75,5.14,GF,1675778743
49,leshukonskoye,64.8989,45.7622,-6.99,91,100,4.94,RU,1675778743
50,puerto maldonado,36.5939,-6.233,17.56,60,20,5.14,ES,1675778744
51,talnakh,69.4865,88.3972,-24.33,98,99,2.78,RU,1675778744
52,chara,56.9064,118.2631,-22.48,83,88,0.83,RU,1675778745
53,kachiry,53.0675,76.1036,-18.8,100,83,2.15,KZ,1675778745
54,carnarvon,-24.8667,113.6333,25.13,72,1,9.85,AU,1675778745
55,norman wells,35.2226,-97.4395,6.77,82,100,3.58,US,1675778745
56,noshiro,40.2039,140.0242,-1.08,83,100,2.16,JP,1675778746
57,lagoa,39.05,-27.9833,13.06,59,100,9.26,PT,1675778670
58,cape town,-36.413,-71.9028,21.68,23,0,3.56,CL,1675778746
59,tuktoyaktuk,69.4541,-133.0374,-35.95,99,94,1.37,CA,1675778747
60,bandarbeyla,9.4942,50.8122,25.04,72,98,5.02,SO,1675778747
61,kahului,20.8947,-156.47,23.8,79,0,6.71,US,1675778743
62,dikson,73.5069,80.5464,-30.78,97,53,4.51,RU,1675778748
63,kikwit,-5.041,18.8162,30.59,49,84,2.13,CD,1675778748
64,saskylakh,71.9167,114.0833,-37.82,100,100,0.89,RU,1675778749
65,tasiilaq,65.6145,-37.6368,-13.91,62,78,5.52,GL,1675778750
66,qaanaaq,77.484,-69.3632,-29.21,74,100,2.6,GL,1675778715
67,christchurch,-43.5333,172.6333,17.17,73,75,2.06,NZ,1675778750
68,mys shmidta,62.0589,48.6201,-11.14,94,100,3.37,RU,1675778750
69,okato,-39.2,173.8833,17.17,93,100,0.45,NZ,1675778751
70,parfenyevo,58.484,43.4088,-14.36,98,77,1.71,RU,1675778751
71,iqaluit,63.7506,-68.5145,-36.84,73,20,1.54,CA,1675778751
72,katsuura,35.1333,140.3,11.39,84,100,4.8,JP,1675778752
73,saldanha,-33.0117,17.9442,26.03,83,100,10.55,ZA,1675778752
74,tezu,27.9167,96.1667,14.61,92,90,1.86,IN,1675778753
75,bredasdorp,-34.5322,20.0403,23.77,60,100,5.68,ZA,1675778631
76,kapaa,22.0752,-159.319,21.72,93,13,5.32,US,1675778645
77,bethel,41.3712,-73.414,-0.59,53,0,1.34,US,1675778753
78,semey,50.4111,80.2275,-10.36,97,95,1.46,KZ,1675778754
79,moffat,55.3323,-3.4454,8.67,94,100,2.83,GB,1675778754
80,novokizhinginsk,51.6115,109.5917,-18.12,97,17,2.22,RU,1675778754
81,talcahuano,-36.7167,-73.1167,17.82,68,0,3.09,CL,1675778534
82,bafq,31.6128,55.4107,17.7,42,100,8.78,IR,1675778755
83,pevek,69.7008,170.3133,-32.2,100,100,0.94,RU,1675778755
84,olafsvik,64.8945,-23.7142,-2.02,59,100,20.76,IS,1675778755
85,susangerd,31.5608,48.1831,19.75,33,1,4.83,IR,1675778756
86,myaundzha,63.0494,147.1858,-39.87,99,91,1.29,RU,1675778756
87,sisimiut,66.9395,-53.6735,-20.3,93,100,1.25,GL,1675778756
88,airai,-8.9266,125.4092,16.13,93,58,0.8,TL,1675778757
89,bucak,37.4592,30.595,0.29,59,53,4.73,TR,1675778757
90,mujiayingzi,42.1167,118.7833,-6.86,65,6,0.89,CN,1675778758
